step_n,E_lj,E_elec,E_total
25100,200.8588338567056,-9346.005803461272,-9145.146969604566
25200,203.46832660449078,-9347.320467742778,-9143.852141138288
25300,212.47807127826536,-9336.86284517421,-9124.384773895945
25400,184.7604141300185,-9350.069873371804,-9165.309459241786
25500,181.15542412836652,-9393.394338257722,-9212.238914129355
25600,182.33674963991504,-9392.270336012185,-9209.93358637227
25700,181.30569692880226,-9446.601708829474,-9265.296011900671
25800,176.00742604555333,-9477.255564655025,-9301.248138609471
25900,177.13557353536905,-9486.383853278028,-9309.24827974266
26000,179.11992237366962,-9498.19911614457,-9319.0791937709
26100,181.7964820357624,-9555.614766824498,-9373.818284788735
26200,203.68058363231063,-9641.473930213639,-9437.793346581328
26300,190.70993998403446,-9662.19214675811,-9471.482206774075
26400,192.80972986793836,-9670.930204758255,-9478.120474890316
26500,190.84205489832127,-9674.976156517541,-9484.13410161922
26600,198.58711873284136,-9715.721465223922,-9517.13434649108
26700,190.05341328883267,-9711.0371461792,-9520.983732890367
26800,190.24653332029595,-9715.98814468757,-9525.741611367273
26900,239.12110987990025,-9873.035611982414,-9633.914502102514
27000,247.587117379633,-9888.959089883456,-9641.371972503823
27100,246.75703423392795,-9900.151155092013,-9653.394120858085
27200,247.81065336818227,-9932.589121406036,-9684.778468037854
27300,247.1640967563891,-10005.341272378979,-9758.17717562259
27400,250.5476767409561,-10033.165252563855,-9782.617575822898
27500,242.03558021832632,-10024.00042618531,-9781.964845966984
27600,250.26170547677222,-10049.602185597405,-9799.340480120632
27700,253.23868181872515,-10098.246795287552,-9845.008113468826
27800,232.4520736361913,-10123.845292085061,-9891.39321844887
27900,237.95745505584824,-10149.037738139708,-9911.08028308386
28000,238.4016749389467,-10222.39206557695,-9983.990390638004
28100,238.79593012794655,-10268.241819265428,-10029.445889137482
28200,237.75118939565425,-10281.880067794174,-10044.12887839852
28300,232.1549190113714,-10289.792281546457,-10057.637362535086
28400,231.44341347881357,-10289.426650802481,-10057.983237323668
28500,230.24905084401664,-10285.865761402489,-10055.616710558472
28600,248.00998690765527,-10402.915577201675,-10154.90559029402
28700,258.26077649256433,-10442.319198654075,-10184.05842216151
28800,235.07808864295222,-10476.850822025206,-10241.772733382253
28900,241.99896656924594,-10503.302544920816,-10261.30357835157
29000,242.8052790717921,-10513.33090208503,-10270.525623013238
29100,241.7608414096503,-10525.766884026149,-10284.006042616498
29200,236.6336247776249,-10538.280410805955,-10301.64678602833
29300,252.59280558570632,-10616.3257791512,-10363.732973565495
29400,249.01280913589434,-10638.011635673305,-10388.99882653741
29500,249.77301670177513,-10635.47640052283,-10385.703383821055
29600,246.29382846161883,-10632.46288402362,-10386.169055562
29700,245.54418115472876,-10647.549494347368,-10402.00531319264
29800,247.03033439099778,-10657.97612675574,-10410.945792364742
29900,247.0505438801142,-10674.47715848213,-10427.426614602016
30000,244.57382107940933,-10672.819380242294,-10428.245559162884
30100,250.64932039379653,-10689.667838872865,-10439.018518479068
30200,255.44789215991548,-10717.364902527113,-10461.917010367199
30300,260.0911101084008,-10743.017195263265,-10482.926085154864
30400,259.5131449235994,-10759.330411861953,-10499.817266938353
30500,256.1526610100509,-10758.627485219902,-10502.47482420985
30600,255.67486604480985,-10770.296938966707,-10514.622072921897
30700,257.42265972750323,-10786.747389676237,-10529.324729948734
30800,237.9224078062036,-10803.344447980786,-10565.422040174582
30900,240.1832157141909,-10809.412559314465,-10569.229343600275
31000,237.25742030518956,-10817.232238120412,-10579.974817815222
31100,237.33293102441564,-10834.821238315519,-10597.488307291103
31200,248.45949026584572,-10850.21294088239,-10601.753450616543
31300,249.21089863397776,-10851.506397675745,-10602.295499041767
31400,248.021823395865,-10854.67410154985,-10606.652278153984
