step_n,E_lj,E_elec,E_total
26600,1383.2791815303392,-59725.045351416185,-58341.76616988584
26700,1377.6484113730703,-59860.94275106388,-58483.29433969081
26800,1397.7277949288139,-60103.637764986175,-58705.909970057364
26900,1402.552950083919,-60498.056625942816,-59095.5036758589
27000,1402.445047724412,-60606.064183631766,-59203.61913590736
27100,1406.1725097713058,-60884.099242019875,-59477.92673224857
27200,1409.942621538266,-61033.806949519705,-59623.86432798144
27300,1403.1975500404872,-61448.48859160537,-60045.29104156488
27400,1575.3829734198657,-61793.493002822994,-60218.11002940313
27500,1569.154933829474,-62063.52984582895,-60494.374911999475
27600,1564.023641187198,-62178.6665205335,-60614.642879346306
27700,1561.2202027971232,-62408.399981260845,-60847.179778463724
27800,1560.1291684313032,-62668.95472355297,-61108.825555121664
27900,1570.586346343246,-62956.37799039779,-61385.791644054545
28000,1662.2402590798201,-63616.45200155148,-61954.211742471656
28100,1341.7361034368116,-63446.00263215113,-62104.26652871432
28200,1352.8943969466927,-63675.4736697122,-62322.579272765506
28300,1359.312630021262,-63824.74776377685,-62465.43513375559
28400,1357.526444300005,-64250.981467243255,-62893.45502294325
28500,1380.762451249003,-64497.487342231885,-63116.724890982885
28600,1371.2104473997151,-64611.549483813666,-63240.33903641395
28700,1347.3065148608055,-64666.81417063538,-63319.50765577457
28800,1274.1647191965405,-64866.185976543944,-63592.021257347405
28900,1171.248624949419,-64997.81968304479,-63826.571058095375
29000,1171.32889206321,-65030.948953777275,-63859.620061714064
29100,1195.9806886963777,-65201.54100992023,-64005.56032122385
29200,1199.0060135492265,-65210.04293793318,-64011.03692438396
29300,1204.9161581487394,-65267.315726849425,-64062.39956870068
29400,1201.5549788911544,-65369.99955320121,-64168.44457431006
29500,1200.9924577541565,-65409.09845766286,-64208.10599990871
29600,1172.6959104751609,-65745.08979592976,-64572.3938854546
29700,1164.8724178201269,-65803.38769515716,-64638.51527733703
29800,1178.0567101708027,-65923.97597069353,-64745.91926052273
29900,1218.266152657958,-66100.6292100284,-64882.36305737044
30000,1372.7722333157164,-66938.33895727765,-65565.56672396194
30100,1438.600569789753,-67124.43732795297,-65685.83675816322
30200,1436.395072372867,-67178.21653525319,-65741.82146288033
